127 100
0 0 1
0.01 0 1
0.02 0 1
0.03 0 1
0.04 0 1
0.05 0 1
0.06 0 1
0.07 0 1
0.08 0 1
0.09 0 1
0.1 0 1
0.11 0 1
0.12 0 1
0.13 0 1
0.14 0 1
0.15 0 1
0.16 0 1
0.17 0 1
0.18 0 1
0.19 0 1
0.2 0 1
0.21 0 1
0.22 0 1
0.23 0 1
0.24 0 1
0.25 0 1
0.26 0 1
0.27 0 1
0.28 0 1
0.29 0 1
0.3 0 1
0.31 0 1
0.32 0 1
0.33 0 1
0.34 0 1
0.35 0 1
0.36 0 1
0.37 0 1
0.38 0 1
0.39 0 1
0.4 0 1
0.41 0 1
0.42 0 1
0.43 0 1
0.44 0 1
0.45 0 1
0.46 0 1
0.47 0 1
0.48 0 1
0.49 0 1
0.5 0 1
0.51 0 1
0.52 0 1
0.53 0 1
0.54 0 1
0.55 0 1
0.56 0 1
0.57 0 1
0.58 0 1
0.59 0 1
0.6 0 1
0.61 0 1
0.62 0 1
0.63 0 1
0.64 0 1
0.65 0 1
0.66 0 1
0.67 0 1
0.68 0 1
0.69 0 1
0.7 0 1
0.71 0 1
0.72 0 1
0.73 0 1
0.74 0 1
0.75 0 1
0.76 0 1
0.77 0 1
0.78 0 1
0.79 0 1
0.8 0 1
0.81 0 1
0.82 0 1
0.83 0 1
0.839999 0 1
0.849999 0 1
0.859999 0 1
0.869999 0 1
0.879999 0 1
0.889999 0 1
0.899999 0 1
0.909999 0 1
0.919999 0 1
0.929999 0 1
0.939999 0 1
0.949999 0 1
0.959999 0 1
0.969999 0 1
0.979999 0 1
0.989999 0 1

0 0.0499792 0.99875
0.01 0.0499792 0.997751
0.02 0.0499792 0.996751
0.03 0.0499792 0.995752
0.04 0.0499792 0.994752
0.05 0.0499792 0.993752
0.06 0.0499792 0.992753
0.07 0.0499792 0.991753
0.08 0.0499792 0.990754
0.09 0.0499792 0.989754
0.1 0.0499792 0.988755
0.11 0.0499792 0.987755
0.12 0.0499792 0.986755
0.13 0.0499792 0.985756
0.14 0.0499792 0.984756
0.15 0.0499792 0.983757
0.16 0.0499792 0.982757
0.17 0.0499792 0.981758
0.18 0.0499792 0.980758
0.19 0.0499792 0.979758
0.2 0.0499792 0.978759
0.21 0.0499792 0.977759
0.22 0.0499792 0.97676
0.23 0.0499792 0.97576
0.24 0.0499792 0.974761
0.25 0.0499792 0.973761
0.26 0.0499792 0.972761
0.27 0.0499792 0.971762
0.28 0.0499792 0.970762
0.29 0.0499792 0.969763
0.3 0.0499792 0.968763
0.31 0.0499792 0.967764
0.32 0.0499792 0.966764
0.33 0.0499792 0.965764
0.34 0.0499792 0.964765
0.35 0.0499792 0.963765
0.36 0.0499792 0.962766
0.37 0.0499792 0.961766
0.38 0.0499792 0.960767
0.39 0.0499792 0.959767
0.4 0.0499792 0.958767
0.41 0.0499792 0.957768
0.42 0.0499792 0.956768
0.43 0.0499792 0.955769
0.44 0.0499792 0.954769
0.45 0.0499792 0.95377
0.46 0.0499792 0.95277
0.47 0.0499792 0.95177
0.48 0.0499792 0.950771
0.49 0.0499792 0.949771
0.5 0.0499792 0.948772
0.51 0.0499792 0.947772
0.52 0.0499792 0.946773
0.53 0.0499792 0.945773
0.54 0.0499792 0.944773
0.55 0.0499792 0.943774
0.56 0.0499792 0.942774
0.57 0.0499792 0.941775
0.58 0.0499792 0.940775
0.59 0.0499792 0.939776
0.6 0.0499792 0.938776
0.61 0.0499792 0.937777
0.62 0.0499792 0.936777
0.63 0.0499792 0.935777
0.64 0.0499792 0.934778
0.65 0.0499792 0.933778
0.66 0.0499792 0.932779
0.67 0.0499792 0.931779
0.68 0.0499792 0.93078
0.69 0.0499792 0.92978
0.7 0.0499792 0.92878
0.71 0.0499792 0.927781
0.72 0.0499792 0.926781
0.73 0.0499792 0.925782
0.74 0.0499792 0.924782
0.75 0.0499792 0.923783
0.76 0.0499792 0.922783
0.77 0.0499792 0.921783
0.78 0.0499792 0.920784
0.79 0.0499792 0.919784
0.8 0.0499792 0.918785
0.81 0.0499792 0.917785
0.82 0.0499792 0.916786
0.83 0.0499792 0.915786
0.839999 0.0499792 0.914786
0.849999 0.0499792 0.913787
0.859999 0.0499792 0.912787
0.869999 0.0499792 0.911788
0.879999 0.0499792 0.910788
0.889999 0.0499792 0.909789
0.899999 0.0499792 0.908789
0.909999 0.0499792 0.907789
0.919999 0.0499792 0.90679
0.929999 0.0499792 0.90579
0.939999 0.0499792 0.904791
0.949999 0.0499792 0.903791
0.959999 0.0499792 0.902792
0.969999 0.0499792 0.901792
0.979999 0.0499792 0.900792
0.989999 0.0499792 0.899793

0 0.0998334 0.995004
0.01 0.0998334 0.993007
0.02 0.0998334 0.991011
0.03 0.0998334 0.989014
0.04 0.0998334 0.987017
0.05 0.0998334 0.985021
0.06 0.0998334 0.983024
0.07 0.0998334 0.981027
0.08 0.0998334 0.979031
0.09 0.0998334 0.977034
0.1 0.0998334 0.975037
0.11 0.0998334 0.973041
0.12 0.0998334 0.971044
0.13 0.0998334 0.969047
0.14 0.0998334 0.96705
0.15 0.0998334 0.965054
0.16 0.0998334 0.963057
0.17 0.0998334 0.96106
0.18 0.0998334 0.959064
0.19 0.0998334 0.957067
0.2 0.0998334 0.95507
0.21 0.0998334 0.953074
0.22 0.0998334 0.951077
0.23 0.0998334 0.94908
0.24 0.0998334 0.947083
0.25 0.0998334 0.945087
0.26 0.0998334 0.94309
0.27 0.0998334 0.941093
0.28 0.0998334 0.939097
0.29 0.0998334 0.9371
0.3 0.0998334 0.935103
0.31 0.0998334 0.933107
0.32 0.0998334 0.93111
0.33 0.0998334 0.929113
0.34 0.0998334 0.927117
0.35 0.0998334 0.92512
0.36 0.0998334 0.923123
0.37 0.0998334 0.921126
0.38 0.0998334 0.91913
0.39 0.0998334 0.917133
0.4 0.0998334 0.915136
0.41 0.0998334 0.91314
0.42 0.0998334 0.911143
0.43 0.0998334 0.909146
0.44 0.0998334 0.90715
0.45 0.0998334 0.905153
0.46 0.0998334 0.903156
0.47 0.0998334 0.901159
0.48 0.0998334 0.899163
0.49 0.0998334 0.897166
0.5 0.0998334 0.895169
0.51 0.0998334 0.893173
0.52 0.0998334 0.891176
0.53 0.0998334 0.889179
0.54 0.0998334 0.887183
0.55 0.0998334 0.885186
0.56 0.0998334 0.883189
0.57 0.0998334 0.881193
0.58 0.0998334 0.879196
0.59 0.0998334 0.877199
0.6 0.0998334 0.875202
0.61 0.0998334 0.873206
0.62 0.0998334 0.871209
0.63 0.0998334 0.869212
0.64 0.0998334 0.867216
0.65 0.0998334 0.865219
0.66 0.0998334 0.863222
0.67 0.0998334 0.861226
0.68 0.0998334 0.859229
0.69 0.0998334 0.857232
0.7 0.0998334 0.855235
0.71 0.0998334 0.853239
0.72 0.0998334 0.851242
0.73 0.0998334 0.849245
0.74 0.0998334 0.847249
0.75 0.0998334 0.845252
0.76 0.0998334 0.843255
0.77 0.0998334 0.841259
0.78 0.0998334 0.839262
0.79 0.0998334 0.837265
0.8 0.0998334 0.835268
0.81 0.0998334 0.833272
0.82 0.0998334 0.831275
0.83 0.0998334 0.829278
0.839999 0.0998334 0.827282
0.849999 0.0998334 0.825285
0.859999 0.0998334 0.823288
0.869999 0.0998334 0.821292
